category,series_id,year,period,value,data_type,collected_at
total_nonfarm,CES0000000001,2025,M06,159724,employment_level,2025-07-03T21:51:27.249397
total_nonfarm,CES0000000001,2025,M05,159577,employment_level,2025-07-03T21:51:27.249415
total_nonfarm,CES0000000001,2025,M04,159433,employment_level,2025-07-03T21:51:27.249419
total_nonfarm,CES0000000001,2025,M03,159275,employment_level,2025-07-03T21:51:27.249421
total_nonfarm,CES0000000001,2025,M02,159155,employment_level,2025-07-03T21:51:27.249423
total_nonfarm,CES0000000001,2025,M01,159053,employment_level,2025-07-03T21:51:27.249424
total_nonfarm,CES0000000001,2024,M12,158942,employment_level,2025-07-03T21:51:27.249426
total_nonfarm,CES0000000001,2024,M11,158619,employment_level,2025-07-03T21:51:27.249428
total_nonfarm,CES0000000001,2024,M10,158358,employment_level,2025-07-03T21:51:27.249429
total_nonfarm,CES0000000001,2024,M09,158314,employment_level,2025-07-03T21:51:27.249431
total_nonfarm,CES0000000001,2024,M08,158074,employment_level,2025-07-03T21:51:27.249432
total_nonfarm,CES0000000001,2024,M07,158003,employment_level,2025-07-03T21:51:27.249434
total_nonfarm,CES0000000001,2024,M06,157915,employment_level,2025-07-03T21:51:27.249435
total_nonfarm,CES0000000001,2024,M05,157828,employment_level,2025-07-03T21:51:27.249437
total_nonfarm,CES0000000001,2024,M04,157635,employment_level,2025-07-03T21:51:27.249438
total_nonfarm,CES0000000001,2024,M03,157517,employment_level,2025-07-03T21:51:27.249440
total_nonfarm,CES0000000001,2024,M02,157271,employment_level,2025-07-03T21:51:27.249445
total_nonfarm,CES0000000001,2024,M01,157049,employment_level,2025-07-03T21:51:27.249447
total_nonfarm,CES0000000001,2023,M12,156930,employment_level,2025-07-03T21:51:27.249448
total_nonfarm,CES0000000001,2023,M11,156661,employment_level,2025-07-03T21:51:27.249450
total_nonfarm,CES0000000001,2023,M10,156520,employment_level,2025-07-03T21:51:27.249451
total_nonfarm,CES0000000001,2023,M09,156334,employment_level,2025-07-03T21:51:27.249452
total_nonfarm,CES0000000001,2023,M08,156176,employment_level,2025-07-03T21:51:27.249454
total_nonfarm,CES0000000001,2023,M07,156019,employment_level,2025-07-03T21:51:27.249455
