category,series_id,year,period,month,quarter,value,collected_at
food_away_from_home,CUUR0000SEFV,2025,M05,5,2,381.228,2025-07-03T21:46:26.996502
food_away_from_home,CUUR0000SEFV,2025,M04,4,2,380.039,2025-07-03T21:46:26.996520
food_away_from_home,CUUR0000SEFV,2025,M03,3,1,378.363,2025-07-03T21:46:26.996524
food_away_from_home,CUUR0000SEFV,2025,M02,2,1,376.991,2025-07-03T21:46:26.996526
food_away_from_home,CUUR0000SEFV,2025,M01,1,1,375.532,2025-07-03T21:46:26.996529
food_away_from_home,CUUR0000SEFV,2024,M12,12,4,374.644,2025-07-03T21:46:26.996531
food_away_from_home,CUUR0000SEFV,2024,M11,11,4,373.530,2025-07-03T21:46:26.996533
food_away_from_home,CUUR0000SEFV,2024,M10,10,4,372.486,2025-07-03T21:46:26.996536
food_away_from_home,CUUR0000SEFV,2024,M09,9,3,371.604,2025-07-03T21:46:26.996538
food_away_from_home,CUUR0000SEFV,2024,M08,8,3,370.348,2025-07-03T21:46:26.996540
food_away_from_home,CUUR0000SEFV,2024,M07,7,3,369.383,2025-07-03T21:46:26.996542
food_away_from_home,CUUR0000SEFV,2024,M06,6,2,368.616,2025-07-03T21:46:26.996544
food_away_from_home,CUUR0000SEFV,2024,M05,5,2,367.099,2025-07-03T21:46:26.996546
food_away_from_home,CUUR0000SEFV,2024,M04,4,2,365.813,2025-07-03T21:46:26.996548
food_away_from_home,CUUR0000SEFV,2024,M03,3,1,364.546,2025-07-03T21:46:26.996550
food_away_from_home,CUUR0000SEFV,2024,M02,2,1,363.596,2025-07-03T21:46:26.996552
food_away_from_home,CUUR0000SEFV,2024,M01,1,1,363.249,2025-07-03T21:46:26.996554
food_away_from_home,CUUR0000SEFV,2023,M12,12,4,361.564,2025-07-03T21:46:26.996556
food_away_from_home,CUUR0000SEFV,2023,M11,11,4,360.383,2025-07-03T21:46:26.996558
food_away_from_home,CUUR0000SEFV,2023,M10,10,4,358.824,2025-07-03T21:46:26.996565
food_away_from_home,CUUR0000SEFV,2023,M09,9,3,357.488,2025-07-03T21:46:26.996567
food_away_from_home,CUUR0000SEFV,2023,M08,8,3,356.083,2025-07-03T21:46:26.996569
food_away_from_home,CUUR0000SEFV,2023,M07,7,3,354.862,2025-07-03T21:46:26.996571
food_away_from_home,CUUR0000SEFV,2023,M06,6,2,354.245,2025-07-03T21:46:26.996573
food_away_from_home,CUUR0000SEFV,2023,M05,5,2,352.892,2025-07-03T21:46:26.996575
food_away_from_home,CUUR0000SEFV,2023,M04,4,2,351.237,2025-07-03T21:46:26.996578
food_away_from_home,CUUR0000SEFV,2023,M03,3,1,349.944,2025-07-03T21:46:26.996580
food_away_from_home,CUUR0000SEFV,2023,M02,2,1,347.869,2025-07-03T21:46:26.996582
food_away_from_home,CUUR0000SEFV,2023,M01,1,1,345.677,2025-07-03T21:46:26.996584
food_away_from_home,CUUR0000SEFV,2022,M12,12,4,343.559,2025-07-03T21:46:26.996586
food_away_from_home,CUUR0000SEFV,2022,M11,11,4,342.266,2025-07-03T21:46:26.996588
food_away_from_home,CUUR0000SEFV,2022,M10,10,4,340.532,2025-07-03T21:46:26.996591
food_away_from_home,CUUR0000SEFV,2022,M09,9,3,337.369,2025-07-03T21:46:26.996593
food_away_from_home,CUUR0000SEFV,2022,M08,8,3,334.212,2025-07-03T21:46:26.996595
food_away_from_home,CUUR0000SEFV,2022,M07,7,3,331.342,2025-07-03T21:46:26.996597
food_away_from_home,CUUR0000SEFV,2022,M06,6,2,329.033,2025-07-03T21:46:26.996601
food_away_from_home,CUUR0000SEFV,2022,M05,5,2,325.952,2025-07-03T21:46:26.996603
food_away_from_home,CUUR0000SEFV,2022,M04,4,2,323.559,2025-07-03T21:46:26.996605
food_away_from_home,CUUR0000SEFV,2022,M03,3,1,321.689,2025-07-03T21:46:26.996609
food_away_from_home,CUUR0000SEFV,2022,M02,2,1,320.880,2025-07-03T21:46:26.996610
food_away_from_home,CUUR0000SEFV,2022,M01,1,1,319.471,2025-07-03T21:46:26.996612
food_at_home,CUUR0000SAF1,2025,M05,5,2,338.598,2025-07-03T21:46:27.664145
food_at_home,CUUR0000SAF1,2025,M04,4,2,337.747,2025-07-03T21:46:27.664163
food_at_home,CUUR0000SAF1,2025,M03,3,1,337.751,2025-07-03T21:46:27.664178
food_at_home,CUUR0000SAF1,2025,M02,2,1,336.274,2025-07-03T21:46:27.664183
food_at_home,CUUR0000SAF1,2025,M01,1,1,335.517,2025-07-03T21:46:27.664186
food_at_home,CUUR0000SAF1,2024,M12,12,4,333.566,2025-07-03T21:46:27.664190
food_at_home,CUUR0000SAF1,2024,M11,11,4,332.904,2025-07-03T21:46:27.664194
food_at_home,CUUR0000SAF1,2024,M10,10,4,332.678,2025-07-03T21:46:27.664198
food_at_home,CUUR0000SAF1,2024,M09,9,3,332.083,2025-07-03T21:46:27.664201
