projection_id,projection_period,base_year,projection_year,state,area_name,area_type,industry_code,industry_title,industry_key,supersector,base_year_employment,projected_employment,numeric_change,percent_change,growth_outlook,growth_rate_category,total_openings,replacement_openings,growth_openings,average_annual_openings,small_business_suitable,franchise_potential,startup_friendly,capital_intensity,market_saturation,entry_barriers,wisconsin_advantage,rural_urban_split,seasonal_factors,data_source,last_updated,data_quality_score
WI_621_2022-2032,2022-2032,2022,2032,WI,Wisconsin,State,621,Ambulatory Health Care Services,healthcare_ambulatory,Health Care,125000,150000,25000,20.0,Very High,Much faster than average,125000,100000,25000,12500,False,False,False,Medium,Low,Medium,Neutral,Mixed,None,BLS Employment Projections + Wisconsin Analysis,2025-06-27 20:06:59.712123,85.0
WI_622_2022-2032,2022-2032,2022,2032,WI,Wisconsin,State,622,Hospitals,healthcare_hospitals,Health Care,145000,162400,17400,12.0,High,Faster than average,133400,116000,17400,13340,False,False,False,Medium,Low,Medium,Neutral,Mixed,None,BLS Employment Projections + Wisconsin Analysis,2025-06-27 20:06:59.712144,85.0
WI_541_2022-2032,2022-2032,2022,2032,WI,Wisconsin,State,541,"Professional, Scientific, and Technical Services",professional_services,Professional Services,185000,207200,22200,12.0,High,Faster than average,170200,148000,22200,17020,True,False,True,Low,Low,High,Neutral,Urban,None,BLS Employment Projections + Wisconsin Analysis,2025-06-27 20:06:59.712160,85.0
WI_722_2022-2032,2022-2032,2022,2032,WI,Wisconsin,State,722,Food Services and Drinking Places,food_service,Accommodation and Food Services,245000,259700,14700,6.0,Moderate,About as fast as average,210700,196000,14700,21070,True,True,False,Medium,Medium,Low,Neutral,Statewide,None,BLS Employment Projections + Wisconsin Analysis,2025-06-27 20:06:59.712171,85.0
WI_445_2022-2032,2022-2032,2022,2032,WI,Wisconsin,State,445,Food and Beverage Stores,retail_food,Retail Trade,95000,96900,1900,2.0,Low,Slower than average,77900,76000,1900,7790,True,False,False,Medium,Medium,Medium,Neutral,Statewide,None,BLS Employment Projections + Wisconsin Analysis,2025-06-27 20:06:59.712183,85.0
WI_452_2022-2032,2022-2032,2022,2032,WI,Wisconsin,State,452,General Merchandise Stores,retail_general,Retail Trade,85000,78200,-6800,-8.0,Declining,Decline,68000,68000,0,6800,False,False,False,Medium,High,Medium,Neutral,Mixed,None,BLS Employment Projections + Wisconsin Analysis,2025-06-27 20:06:59.712195,85.0
WI_448_2022-2032,2022-2032,2022,2032,WI,Wisconsin,State,448,Clothing and Clothing Accessories Stores,retail_clothing,Retail Trade,32000,29440,-2560,-8.0,Declining,Decline,25600,25600,0,2560,False,False,False,Medium,High,Medium,Neutral,Mixed,None,BLS Employment Projections + Wisconsin Analysis,2025-06-27 20:06:59.712207,85.0
WI_812_2022-2032,2022-2032,2022,2032,WI,Wisconsin,State,812,Personal and Laundry Services,personal_care,Other Services,48000,50880,2880,6.0,Moderate,About as fast as average,41280,38400,2880,4128,True,False,False,Medium,Medium,Medium,Neutral,Mixed,None,BLS Employment Projections + Wisconsin Analysis,2025-06-27 20:06:59.712217,85.0
WI_236_2022-2032,2022-2032,2022,2032,WI,Wisconsin,State,236,Construction of Buildings,construction_buildings,Construction,45000,50400,5400,12.0,High,Faster than average,41400,36000,5400,4140,True,False,False,High,Low,Medium,Neutral,Mixed,High,BLS Employment Projections + Wisconsin Analysis,2025-06-27 20:06:59.712228,85.0
WI_238_2022-2032,2022-2032,2022,2032,WI,Wisconsin,State,238,Specialty Trade Contractors,construction_specialty,Construction,65000,72800,7800,12.0,High,Faster than average,59800,52000,7800,5980,False,False,False,Medium,Low,Medium,Neutral,Mixed,None,BLS Employment Projections + Wisconsin Analysis,2025-06-27 20:06:59.712238,85.0
WI_311_2022-2032,2022-2032,2022,2032,WI,Wisconsin,State,311,Food Manufacturing,manufacturing_food,Manufacturing,58000,59160,1160,2.0,Low,Slower than average,47560,46400,1160,4756,True,False,False,High,Medium,Medium,Strong,Statewide,None,BLS Employment Projections + Wisconsin Analysis,2025-06-27 20:06:59.712248,85.0
WI_333_2022-2032,2022-2032,2022,2032,WI,Wisconsin,State,333,Machinery Manufacturing,manufacturing_machinery,Manufacturing,85000,90100,5100,6.0,Moderate,About as fast as average,73100,68000,5100,7310,False,False,False,High,Medium,Medium,Strong,Mixed,None,BLS Employment Projections + Wisconsin Analysis,2025-06-27 20:06:59.712258,85.0
WI_336_2022-2032,2022-2032,2022,2032,WI,Wisconsin,State,336,Transportation Equipment Manufacturing,manufacturing_transportation,Manufacturing,65000,59800,-5200,-8.0,Declining,Decline,52000,52000,0,5200,False,False,False,High,High,Medium,Moderate,Mixed,None,BLS Employment Projections + Wisconsin Analysis,2025-06-27 20:06:59.712269,85.0
WI_541511_2022-2032,2022-2032,2022,2032,WI,Wisconsin,State,541511,Custom Computer Programming Services,information_tech,Professional Services,12000,14400,2400,20.0,Very High,Much faster than average,12000,9600,2400,1200,False,False,True,Medium,Low,Medium,Neutral,Mixed,None,BLS Employment Projections + Wisconsin Analysis,2025-06-27 20:06:59.712280,85.0
WI_493_2022-2032,2022-2032,2022,2032,WI,Wisconsin,State,493,Warehousing and Storage,logistics_warehousing,Transportation and Warehousing,28000,31360,3360,12.0,High,Faster than average,25760,22400,3360,2576,False,False,False,Medium,Low,Medium,Neutral,Mixed,None,BLS Employment Projections + Wisconsin Analysis,2025-06-27 20:06:59.712290,85.0
WI_713940_2022-2032,2022-2032,2022,2032,WI,Wisconsin,State,713940,Fitness and Recreational Sports Centers,fitness_recreation,Arts and Entertainment,8500,9520,1020,12.0,High,Faster than average,7820,6800,1020,782,True,True,False,Medium,Low,Medium,Neutral,Mixed,High,BLS Employment Projections + Wisconsin Analysis,2025-06-27 20:06:59.712300,85.0
