AREA,area_name,OCC_CODE,occupation_name,OCC_TITLE,total_employment,hourly_mean_wage,annual_mean_wage,hourly_median_wage,annual_median_wage,wage_10th_percentile_annual,wage_25th_percentile_annual,wage_75th_percentile_annual,wage_90th_percentile_annual,data_year,collection_date,wage_category,labor_cost_level
5500000,Wisconsin State,11-1021,General Managers,General and Operations Managers,25000,44.34,92233,40.8,84854,59951,73786,115291,138349,2019,2025-06-27 19:46:13.026491,High,High Cost
5500000,Wisconsin State,11-9051,Food Service Managers,Food Service Managers,8000,24.39,50731,22.44,46673,32975,40585,63414,76097,2019,2025-06-27 19:46:13.026505,Middle,Moderate Cost
5500000,Wisconsin State,11-9081,Retail Managers,Retail Sales Managers,12000,22.62,47058,20.81,43294,30588,37647,58823,70588,2019,2025-06-27 19:46:13.026514,Low-Middle,Moderate Cost
5500000,Wisconsin State,11-9021,Construction Managers,Construction Managers,3500,40.41,84057,37.18,77333,54637,67246,105072,126086,2019,2025-06-27 19:46:13.026561,High,High Cost
5500000,Wisconsin State,29-1141,Registered Nurses,Registered Nurses,65000,33.75,70192,31.05,64576,45625,56153,87740,105288,2019,2025-06-27 19:46:13.026572,Middle,High Cost
5500000,Wisconsin State,31-9092,Medical Assistants,Medical Assistants,18000,16.72,34782,15.38,32000,22608,27826,43478,52173,2019,2025-06-27 19:46:13.026580,Low-Middle,Low Cost
5500000,Wisconsin State,31-1121,Home Health Aides,Home Health and Personal Care Aides,35000,12.82,26666,11.79,24533,17333,21333,33333,40000,2019,2025-06-27 19:46:13.026587,Low,Low Cost
5500000,Wisconsin State,35-3021,Food Prep Workers,Combined Food Preparation and Serving Workers,45000,11.56,24038,10.63,22115,15624,19230,30048,36057,2019,2025-06-27 19:46:13.026599,Low,Low Cost
5500000,Wisconsin State,35-3031,Waiters Waitresses,Waiters and Waitresses,52000,11.04,22966,10.16,21129,14928,18373,28708,34449,2019,2025-06-27 19:46:13.026605,Low,Low Cost
5500000,Wisconsin State,35-2014,Cooks Restaurant,"Cooks, Restaurant",28000,12.94,26923,11.91,24769,17500,21538,33653,40384,2019,2025-06-27 19:46:13.026612,Low,Low Cost
5500000,Wisconsin State,35-3011,Bartenders,Bartenders,15000,12.14,25242,11.17,23223,16407,20194,31553,37864,2019,2025-06-27 19:46:13.026619,Low,Low Cost
5500000,Wisconsin State,41-2031,Retail Salespersons,Retail Salespersons,85000,14.07,29268,12.95,26926,19024,23414,36585,43902,2019,2025-06-27 19:46:13.026627,Low-Middle,Low Cost
5500000,Wisconsin State,41-2011,Cashiers,Cashiers,95000,11.09,23076,10.21,21230,14999,18461,28846,34615,2019,2025-06-27 19:46:13.026633,Low,Low Cost
5500000,Wisconsin State,43-4051,Customer Service Reps,Customer Service Representatives,42000,16.97,35294,15.61,32470,22941,28235,44117,52941,2019,2025-06-27 19:46:13.026640,Low-Middle,Low Cost
5500000,Wisconsin State,39-5012,Hairdressers,"Hairdressers, Hairstylists, and Cosmetologists",8500,15.08,31372,13.88,28862,20392,25098,39215,47058,2019,2025-06-27 19:46:13.026647,Low-Middle,Low Cost
5500000,Wisconsin State,39-9031,Fitness Trainers,Fitness Trainers and Aerobics Instructors,5500,17.24,35849,15.86,32981,23301,28679,44811,53773,2019,2025-06-27 19:46:13.026654,Low-Middle,Low Cost
5500000,Wisconsin State,39-9011,Childcare Workers,Childcare Workers,25000,11.96,24880,11.0,22889,16172,19904,31100,37320,2019,2025-06-27 19:46:13.026662,Low,Low Cost
5500000,Wisconsin State,47-2031,Carpenters,Carpenters,18000,24.27,50485,22.33,46446,32815,40388,63106,75728,2019,2025-06-27 19:46:13.026674,Middle,Moderate Cost
