location_id,station_id,route_name,latitude,longitude,county,city,aadt,measurement_year,traffic_volume_category,highway_type,functional_class,urban_rural,lane_count,median_type,access_control,truck_percentage,peak_hour_factor,directional_split,data_source,data_collection_date,data_quality_score
31151,31151,,43.55969096081367,-89.77824508891062,Sauk,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746417,50.0
31152,31152,,43.559972888323145,-89.78265154960762,Sauk,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746509,50.0
31153,31153,,43.5572103930096,-89.77876266336418,Sauk,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746527,50.0
31154,31154,,43.55694810467713,-89.78088526136175,Sauk,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746543,50.0
31155,31155,,43.55756876407199,-89.7820395591473,Sauk,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746555,50.0
31156,31156,,43.73996003484302,-88.42004629609045,Fond Du Lac,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746566,50.0
31166,31166,,43.11186351421426,-87.95082672143116,Milwaukee,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746577,50.0
31167,31167,,43.11184972130833,-87.94943104601485,Milwaukee,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746587,50.0
31169,31169,,43.10571312561271,-87.931478861357,Milwaukee,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746596,50.0
31170,31170,,43.09254744184362,-87.9247389353423,Milwaukee,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746605,50.0
31171,31171,,43.08916380042164,-87.90609797263691,Milwaukee,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746615,50.0
31172,31172,,43.08811807708789,-87.90484357379303,Milwaukee,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746628,50.0
31173,31173,,43.08361474099545,-87.92112834820264,Milwaukee,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746638,50.0
31174,31174,,43.08163502517002,-87.92181756702885,Milwaukee,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746647,50.0
31175,31175,,43.08209907141289,-87.91924715510899,Milwaukee,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746656,50.0
31176,31176,,43.08210143034671,-87.91657281431576,Milwaukee,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746665,50.0
31178,31178,,44.81463372902416,-91.50073074094855,Eau Claire,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746675,50.0
31179,31179,,44.814764068583045,-91.49968612681126,Eau Claire,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746684,50.0
31182,31182,,44.81478719221831,-91.49399501524468,Eau Claire,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746696,50.0
31183,31183,,44.81607733161489,-91.50043470370866,Eau Claire,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746707,50.0
31184,31184,,44.81587170262871,-91.50173374871866,Eau Claire,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746721,50.0
31185,31185,,44.816476051387504,-91.50136786147924,Eau Claire,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746744,50.0
31186,31186,,44.81629637752401,-91.50276788105927,Eau Claire,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746761,50.0
31187,31187,,44.82045036043561,-91.49863820776125,Eau Claire,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746779,50.0
31188,31188,,44.82046210774051,-91.49626119098978,Eau Claire,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746794,50.0
31190,31190,,44.82047992646671,-91.49356079600726,Eau Claire,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746803,50.0
31192,31192,,44.815581738654764,-91.50995917951501,Eau Claire,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746813,50.0
31195,31195,,44.818324171353886,-91.51012217499003,Eau Claire,,0,2025,Low,Local,,,,,,,,,WisDOT,2025-06-26 21:01:44.746827,50.0
